Reading reference string from: test/1/reference.raw
Reference length: 100000
Reference first: 60.3302, last: 111.202
Finished reading reference string.
Start reading query strings.
Reading query string from: test/1/query_0.raw
Query batch size: 512, length: 2000
Finished reading query strings.
Start normalizing reference string.
Finished normalizing reference string.
Start normalizing query strings.
Finished normalizing query strings.
Normalization throughput: 25.498 Giga samples/second.
Start DTW.
DTW throughput: 0.0162002 Giga samples/second.
Cost[0]: 1.086537
Cost[1]: 643.949097
Cost[2]: 0.449562
Cost[3]: 652.934204
Cost[4]: 651.160156
Cost[5]: 652.457947
Cost[6]: 656.457764
Cost[7]: 661.101990
Cost[8]: 649.152710
Cost[9]: 656.961853
Cost[10]: 672.165405
Cost[11]: 645.964539
Cost[12]: 649.018311
Cost[13]: 658.553894
Cost[14]: 644.528687
Cost[15]: 642.109314
Cost[16]: 652.702759
Cost[17]: 645.639832
Cost[18]: 637.930420
Cost[19]: 658.929993
Cost[20]: 650.239685
Cost[21]: 647.200439
Cost[22]: 655.087646
Cost[23]: 653.313660
Cost[24]: 653.777039
Cost[25]: 641.123962
Cost[26]: 652.168823
Cost[27]: 648.057251
Cost[28]: 652.667664
Cost[29]: 647.658997
Cost[30]: 632.042419
Cost[31]: 648.713257
Cost[32]: 652.755737
Cost[33]: 647.530334
Cost[34]: 636.771301
Cost[35]: 639.574829
Cost[36]: 654.801758
Cost[37]: 658.999329
Cost[38]: 651.887024
Cost[39]: 658.466309
Cost[40]: 637.636414
Cost[41]: 651.241821
Cost[42]: 650.754700
Cost[43]: 641.656433
Cost[44]: 644.630615
Cost[45]: 643.469177
Cost[46]: 647.151733
Cost[47]: 657.188965
Cost[48]: 644.340393
Cost[49]: 652.317932
Cost[50]: 663.635254
Cost[51]: 653.802307
Cost[52]: 651.351257
Cost[53]: 646.443176
Cost[54]: 644.398865
Cost[55]: 650.184631
Cost[56]: 660.211304
Cost[57]: 641.748718
Cost[58]: 656.996521
Cost[59]: 645.535339
Cost[60]: 658.056580
Cost[61]: 656.955383
Cost[62]: 650.643372
Cost[63]: 662.382629
Cost[64]: 651.618713
Cost[65]: 635.960388
Cost[66]: 653.035950
Cost[67]: 636.973450
Cost[68]: 639.417236
Cost[69]: 646.526001
Cost[70]: 652.820435
Cost[71]: 655.451233
Cost[72]: 636.929199
Cost[73]: 659.605225
Cost[74]: 646.726135
Cost[75]: 656.631714
Cost[76]: 654.276001
Cost[77]: 648.812195
Cost[78]: 654.749939
Cost[79]: 651.381104
Cost[80]: 655.186035
Cost[81]: 653.837585
Cost[82]: 633.354187
Cost[83]: 643.563110
Cost[84]: 644.390442
Cost[85]: 654.083923
Cost[86]: 659.005920
Cost[87]: 652.154907
Cost[88]: 644.530273
Cost[89]: 663.397827
Cost[90]: 659.607849
Cost[91]: 655.828796
Cost[92]: 653.119873
Cost[93]: 638.663208
Cost[94]: 651.572937
Cost[95]: 666.161316
Cost[96]: 672.144897
Cost[97]: 662.695312
Cost[98]: 650.180359
